,county_name,startyear,endyear,start_hour,end_hour,number_of_participants,number_of_waste_bags,kg_of_collected_waste,meters_cleaned_beach,engangsdekketoy,ballonger,glassflasker,klaer_tekstiler,lightere,matemballasje,sigarettsneiper,engangsgriller,leker_smokker,lokk_korker,sko,sugeroer,agnemballasje,boeyer_flottoerer,fiskegarn,fiskekasser,fiskekroker,fiskesnoere,olje_bensinkanner,tau_over_50cm,tau_under_50cm,teiner,armeringsfiber,isolasjonsmateriale,plastpellets,sprengkabler,bind_tamponger,biomedier_rensefiltre,bleier,bomullspinner,sproeyter,kondomer,emballasje_hygieneart,vaatservietter,batterier,bildeler,dekk,elektriske_artikler,hvitevarer,isopor_over5cm,lyspaerer,malingsspann,oljefat,paller,patronhylser,presenning_plastduker,uidentifiserbare_plastbiter,take_awaybeholdere,godteriemballasje,husholdningsprodukter,husholdnignsprodukter_norske,husholdnignsprodukter_utenlandske,husholdnignsprodukter_vet_ikke,plastflasker,plastflasker_norske,plastflasker_utenlandske,plastflasker_vet_ikke,metallbokser,metallbokser_norsk,metallbokser_utenlandske,metallbokser_vet_ikke,handleposer,soppelsekker,smaposer,papirposer,snusposer,snuspakker,sigarettpakker,fiskegarn_under_50cm,fiskegarn_over_50cm,tau,ror,behandlet_trevirke,byggematerialer,pakkeband,strips,rundballplast,broytepinner,forladninger,uidentifiserte_plastbiter_under_50cm,uidentifiserte_plastbiter_over_50cm,lon,lat
0,Agder,1417113.0,1417113.0,194783.0,246296.0,8581.0,23901.0,268608.0,749859.0,502.0,67.0,531.0,112.0,129.0,980.0,500.0,21.0,117.0,1179.0,102.0,366.0,46.0,3828.0,356.0,141.0,476.0,262.0,189.0,7120.0,1982.0,7821.0,28.0,79.0,10132222.0,131.0,6.0,619.0,4.0,420.0,35.0,3.0,101.0,260.0,233.0,31.0,4788.0,366.0,10.0,1292.0,30.0,35.0,51.0,6.0,176.0,102.0,5278.0,452.0,982.0,391.0,139.0,27.0,156.0,879.0,416.0,59.0,234.0,10177.0,337.0,49.0,22.0,402.0,218.0,771.0,52.0,272.0,188.0,50.0,221.0,124.0,9230.0,99.0,147.0,51.0,201.0,208.0,59.0,20.0,69.0,2635.0,700.0,3857.3925628772454,28394.04397060215
1,Innlandet,594252.0,594250.0,89476.0,104192.0,11286.0,3468.0,42279.0,186698.0,209.0,8.0,191.0,102.0,25.0,238.0,2797.0,14.0,31.0,327.0,24.0,86.0,4.0,1.0,2.0,0.0,5.0,3.0,41.0,12.0,45.0,0.0,3.0,8.0,49.0,0.0,5.0,3436.0,13.0,4.0,13.0,2.0,25.0,90.0,23.0,20.0,107.0,12.0,8.0,840.0,21.0,26.0,23.0,6.0,10.0,20.0,838.0,206.0,583.0,62.0,46.0,5.0,3.0,369.0,313.0,30.0,1.0,346.0,261.0,0.0,63.0,133.0,67.0,101.0,23.0,981.0,219.0,192.0,1.0,1.0,57.0,38.0,41.0,105.0,7.0,30.0,395.0,103.0,0.0,533.0,184.0,1669.5334989184246,10078.54261250901
2,Møre og Romsdal,1111637.0,1111668.0,92760.0,87662.0,8378.0,17322.0,307411.0,823351.0,184.0,32.0,265.0,113.0,56.0,586.0,324.0,43.0,100.0,786.0,132.0,92.0,49.0,405.0,418.0,265.0,40.0,86.0,493.0,791.0,1941.0,50.0,1432.0,116.0,212.0,452.0,13.0,14.0,2.0,155.0,12.0,1.0,169.0,98.0,9.0,16.0,83.0,33.0,19.0,1875.0,34.0,68.0,233.0,29.0,264.0,182.0,8110.0,148.0,461.0,630.0,225.0,143.0,189.0,2462.0,824.0,451.0,492.0,287.0,151.0,21.0,24.0,387.0,195.0,269.0,28.0,220.0,375.0,33.0,119.0,184.0,3074.0,282.0,130.0,68.0,1377.0,622.0,200.0,129.0,48.0,3268.0,355.0,1848.6576951812608,17356.54107086951
3,Nordland,3911853.0,3911859.0,456193.0,563052.0,12666.0,45345.0,523890.5,2447333.0,1619.0,512.0,1140.0,801.0,816.0,8230.0,857.0,112.0,520.0,13668.0,7375.0,367.0,427.0,16062.0,3773.0,993.0,22481.0,5387.0,4459.0,9286.0,34933.0,13.0,27.0,303.0,1753.0,1765.0,307.0,207.0,30.0,3001.0,120.0,30.0,591.0,1177.0,82.0,184.0,227.0,141.0,12.0,13597.0,203.0,56.0,226.0,5505.0,1999.0,1118.0,20363.0,1524.0,642.0,5285.0,463.0,134.0,444.0,19098.0,7728.0,10617.0,289.0,1436.0,324.0,190.0,15.0,3488.0,272.0,475.0,47.0,351.0,1418.0,200.0,1926.0,1808.0,44464.0,988.0,888.0,138.0,7264.0,7228.0,908.0,882.0,456.0,2957.0,770.0,7473.572130035451,35143.758316528896
4,Oslo,697479.0,697479.0,104881.0,122044.0,4136.0,5896.0,63871.0,87014.0,530.0,102.0,313.0,241.0,86.0,1097.0,14413.0,30.0,101.0,827.0,39.0,343.0,6.0,19.0,28.0,6.0,22.0,12.0,24.0,77.0,184.0,7.0,251.0,14.0,397.0,28.0,70.0,22.0,2.0,133.0,373.0,33.0,72.0,442.0,48.0,98.0,84.0,63.0,9.0,577.0,4.0,16.0,8.0,2.0,1.0,16.0,2920.0,431.0,1317.0,41.0,21.0,0.0,19.0,652.0,543.0,6.0,95.0,485.0,447.0,30.0,1.0,327.0,91.0,263.0,33.0,6038.0,421.0,440.0,21.0,6.0,267.0,58.0,13.0,59.0,64.0,88.0,5.0,379.0,0.0,2029.0,180.0,2839.657225068723,15816.57109031162
5,Rogaland,2130413.0,2130413.0,370111.0,451747.0,13202.0,35058.0,329781.0,2466998.0,1357.0,236.0,550.0,392.0,234.0,3552.0,2073.0,98.0,316.0,2058.0,175.0,1064.0,85.0,228.0,434.0,71.0,56.0,180.0,269.0,896.0,12200.0,108.0,36726.0,184.0,594.0,4394.0,46.0,151.0,18.0,2308.0,70.0,40.0,814.0,1434.0,35.0,105.0,908.0,107.0,25.0,9413.0,26.0,250.0,387.0,49.0,237.0,405.0,18975.0,1790.0,5112.0,678.0,535.0,36.0,57.0,1511.0,1148.0,82.0,139.0,700.0,591.0,78.0,11.0,2238.0,729.0,4156.0,542.0,1168.0,625.0,662.0,121.0,273.0,13210.0,317.0,424.0,363.0,983.0,536.0,276.0,15.0,63.0,4923.0,417.0,3247.9660280589633,34689.66336088112
6,Svalbard,10102.0,10102.0,3100.0,2100.0,21.0,12.0,120.0,1948.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,15.63579428332882,78.2662080115313
7,Til sjøs,20204.0,20204.0,0.0,0.0,71.0,82.0,1210.0,52260.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.746136558017373,136.7087471463621
8,Troms og Finnmark,1400583.0,1400583.0,209431.0,227707.0,7935.0,15694.0,323525.0,1659018.0,493.0,92.0,504.0,491.0,302.0,1320.0,924.0,95.0,141.0,2659.0,496.0,455.0,47.0,1753.0,1414.0,435.0,166.0,1509.0,583.0,2312.0,7093.0,15.0,88.0,246.0,82.0,633.0,112.0,119.0,41.0,686.0,350.0,53.0,168.0,372.0,59.0,331.0,159.0,134.0,13.0,2971.0,73.0,55.0,281.0,74.0,833.0,246.0,10335.0,367.0,1382.0,1088.0,375.0,168.0,439.0,2487.0,1099.0,518.0,795.0,1259.0,740.0,145.0,263.0,657.0,322.0,594.0,106.0,566.0,1016.0,107.0,375.0,958.0,9504.0,524.0,286.0,238.0,2080.0,680.0,119.0,966.0,555.0,5215.0,921.0,6650.256886534807,23023.328444409137
9,Trøndelag,580053.0,580073.0,127283.0,151639.0,4103.0,4135.0,149253.1,1557138.0,179.0,9.0,263.0,78.0,45.0,893.0,481.0,8.0,27.0,215.0,33.0,125.0,3.0,235.0,62.0,123.0,225.0,119.0,50.0,162.0,372.0,15.0,35.0,9.0,7.0,63.0,141.0,4.0,0.0,588.0,28.0,7.0,4.0,71.0,16.0,62.0,222.0,23.0,2.0,269.0,8.0,7.0,19.0,3.0,28.0,36.0,458.0,211.0,660.0,45.0,18.0,6.0,11.0,336.0,237.0,41.0,41.0,464.0,260.0,27.0,2.0,171.0,72.0,105.0,28.0,345.0,133.0,54.0,14.0,33.0,560.0,105.0,42.0,48.0,95.0,88.0,31.0,35.0,1.0,238.0,21.0,1540.2709662316904,9446.610903279843
