month,id,number_of_participants,number_of_waste_bags,kg_of_collected_waste,handout_gloves,handout_wastebags,municipality,county,meters_cleaned_beach,teiner,oljefat,personal_use,fisheries,industrial,hygiene,others,created_by,updated_by,CUMSUM
2013-01,2793,2,0,500,0.0,0.0,4624,46,1500,0.0,0,0,0,0,0,0,0.0,0.0,500
2014-01,16868,1,0,2000,0.0,0.0,3025,30,518,0.0,0,0,0,0,0,0,0.0,0.0,2500
2014-07,14960,28,0,0,0.0,0.0,1517,15,1000,0.0,0,20,10,1,0,7,0.0,0.0,2500
2014-09,29905,13,0,6,0.0,0.0,6004,60,1000,0.0,0,117,5,0,2,28,0.0,0.0,2506
2015-01,278938,179,0,2330,0.0,0.0,62270,619,9060,0.0,0,225,178,53,1012,1169,0.0,0.0,4836
2015-02,393506,625,0,2471,0.0,0.0,86073,856,5955,0.0,4,296,287,54,46,687,0.0,0.0,7307
2015-03,448082,586,0,5914,0.0,0.0,93007,922,14470,0.0,2,173,618,27,4,620,0.0,0.0,13221
2015-04,1130117,5035,0,16608,0.0,0.0,230625,2292,42591,0.0,1,1679,826,81,427,2268,0.0,0.0,29829
2015-05,969267,1378,0,4885,0.0,0.0,210174,2081,15166,0.0,10,2169,2659,175,1792,7435,0.0,0.0,34714
2015-06,304862,614,0,1533,0.0,0.0,77141,766,6510,0.0,4,880,1552,44,56,954,0.0,0.0,36247
2015-07,787100,2033,0,5717,0.0,0.0,167173,1659,30395,0.0,2,1067,1043,103,411,2894,0.0,0.0,41964
2015-08,899536,2587,0,6272,0.0,0.0,205122,2041,19671,0.0,7,2523,1916,145,438,4641,0.0,0.0,48236
2015-09,5327907,4599,0,46549,0.0,0.0,1209645,12052,102797,0.0,8,10423,8043,444,4530,238898,0.0,0.0,94785
2015-10,759183,502,0,6212,0.0,0.0,157015,1581,21585,0.0,1,4280,5604,61,1238,6701,0.0,0.0,100997
2015-11,247838,527,0,6539,0.0,0.0,55836,554,5500,0.0,0,46,26,5,0,62,0.0,0.0,107536
2015-12,189041,274,0,2872,0.0,0.0,44194,440,19340,0.0,0,589,181,67,10059,10921,0.0,0.0,110408
2016-01,40583,334,0,11024,0.0,0.0,64019,636,27175,0.0,3,484,397,14,4,782,0.0,0.0,121432
2016-02,66013,910,0,15836,0.0,0.0,121127,1206,25895,0.0,2,67,363,1,30,170,0.0,0.0,137268
2016-03,76760,845,0,8245,0.0,0.0,173659,1728,15100,0.0,0,808,216,50,39,738,0.0,0.0,145513
2016-04,277282,2666,0,40935,0.0,0.0,515475,5127,122853,0.0,5,2532,1806,119,3235,2806,0.0,0.0,186448
2016-05,211885,2601,0,20782,0.0,0.0,491733,4886,54060,0.0,10,3195,4089,189,623,5044,0.0,0.0,207230
2016-06,71866,466,0,10585,0.0,0.0,151150,1502,27825,0.0,2,639,2514,133,735,7720,0.0,0.0,217815
2016-07,535254,4966,0,55350,0.0,0.0,1006240,10022,166847,0.0,16,22039,14631,10420,2073,10007749,0.0,0.0,273165
2016-08,177013,707,0,20221,0.0,0.0,287012,2855,43590,0.0,3,1493,1667,30347,1039,2650,0.0,0.0,293386
2016-09,175574,1112,0,17412,0.0,0.0,297754,2963,46686,0.0,9,2428,8363,164,886,3803,0.0,0.0,310798
2016-10,73113,675,0,22982,0.0,0.0,135676,1348,33559,0.0,2,51147,1869,82,16,3049,0.0,0.0,333780
2016-11,46510,406,0,13699,0.0,0.0,112746,1121,8120,0.0,1,54,2048,0,0,56,0.0,0.0,347479
2016-12,70282,764,0,6481,0.0,0.0,137518,1366,44200,0.0,2,999,9278,351,79,11421,0.0,0.0,353960
2017-01,382209,1958,0,216204,0.0,0.0,301931,3015,129672,0.0,12,3491,7257,1513,5431,422,0.0,0.0,570164
2017-02,553779,2291,0,71446,0.0,0.0,434539,4313,102459,0.0,4,2293,5535,461,430,1710,0.0,0.0,641610
2017-03,680907,4691,0,67832,0.0,0.0,603517,5993,122874,0.0,7,8048,8281,2738,2080,1463,0.0,0.0,709442
2017-04,1175873,8029,0,88610,0.0,0.0,1010193,10034,168174,0.0,9,8921,112005,1010,5132,1724,0.0,0.0,798052
2017-05,980912,5627,0,62719,0.0,0.0,806731,8020,141583,0.0,17,7107,7928,587,3099,11071,0.0,0.0,860771
2017-06,2137850,9102,0,130429,0.0,0.0,1679935,16727,308953,0.0,14,18221,22486,7662,113715,819,0.0,0.0,991200
2017-07,479505,2081,0,39273,0.0,0.0,393392,3910,77612,0.0,9,5014,7122,2919,566,938,0.0,0.0,1030473
2017-08,447746,1662,0,41688,0.0,0.0,409335,4074,119197,0.0,10,6952,7627,1012,781,2404,0.0,0.0,1072161
2017-09,544173,2728,0,52382,0.0,0.0,453890,4509,78485,0.0,49,4720,4819,10938,2067,538,0.0,0.0,1124543
2017-10,425142,2051,0,43695,0.0,0.0,346961,3445,64890,0.0,13,7068,5270,10000518,5751,2742,0.0,0.0,1168238
2017-11,298876,886,0,10318,0.0,0.0,241045,2393,36362,0.0,4,1425,2820,187,661,229,0.0,0.0,1178556
2017-12,199325,792,0,21781,0.0,0.0,163937,1629,23865,0.0,10,2078,2975,177,2113,1248,0.0,0.0,1200337
2018-01,2660231,4604,0,380783,0.0,0.0,942867,9347,387676,0.0,9,11025,28302,3013,1918,3678,0.0,0.0,1581120
2018-02,2168403,7192,0,70927,0.0,0.0,845672,8393,224940,0.0,11,9808,1028857,3419,1072,405,0.0,0.0,1652047
2018-03,5315766,19135,0,261392,0.0,0.0,2065464,20515,575263,0.0,24,21241,28238,14408,11904,1024,0.0,0.0,1913439
2018-04,11012722,59309,0,289427,0.0,0.0,4994168,49573,1360215,0.0,39,39670,25231,2007454,9690,1636,0.0,0.0,2202866
2018-05,9803938,22300,0,314673,0.0,0.0,4188972,41637,1003846,0.0,364,27097,28009,520656,15728,4059,0.0,0.0,2517539
2018-06,2722139,9134,0,71514,0.0,0.0,1242668,12388,222713,0.0,12,7718,9116,3355,2138,653,0.0,0.0,2589053
2018-07,1572476,3828,0,54940,0.0,0.0,755491,7541,129905,0.0,43,80618,3668,52168,5046,288,0.0,0.0,2643993
2018-08,1286373,2638,0,50598,0.0,0.0,592774,5982,164160,0.0,5,8118,6283,10281,2167,387,0.0,0.0,2694591
2018-09,2688076,7419,1,61456,0.0,0.0,930049,9231,275329,0.0,29,8209,4074,2168,2637,454,0.0,0.0,2756047
2018-10,1491335,2897,0,80141,0.0,0.0,614287,6094,214544,0.0,13,4782,7169,3058,1437,457,0.0,0.0,2836188
2018-11,942787,1960,0,27267,0.0,0.0,447961,4450,46218,0.0,4,4463,17047,3405,1220,233,0.0,0.0,2863455
